all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
| GRB 781121A|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 107|
| GRB 781121A|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 108|
| GRB  781123|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 109|
| GRB  781124|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 110|
| GRB  781124|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 110|
| GRB  781207|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 111|
| GRB  781217|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 112|
| GRB  781217|   -0.000000000000000|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 112|
| GRB  781229|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 113|
| GRB  790101|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 114|
| GRB  790101|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 114|
| GRB 790102A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 115|
| GRB 790102B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 116|
| GRB  790103|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 117|
| GRB 790107A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y| 119|
| GRB 790107B|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N| 120|
